Date,Time,Temp (°C)  #9761924,Coupler Detached  #9761924,Coupler Attached  #9761924,Host Connected  #9761924,End Of File  #9761924
18/05/17,09:37:44,8.817,,,,
18/05/17,10:37:44,9.386,,,,
18/05/17,11:37:44,10.394,,,,
18/05/17,12:37:44,12.122,,,,
18/05/17,13:37:44,12.992,,,,
18/05/17,14:37:44,14.074,,,,
18/05/17,15:37:44,15.199,,,,
18/05/17,16:37:44,16.463,,,,
18/05/17,17:37:44,25.113,,,,
18/05/17,18:37:44,23.400,,,,
18/05/17,19:37:44,23.160,,,,
18/05/17,20:37:44,14.002,,,,
18/05/17,21:37:44,10.590,,,,
18/05/17,22:37:44,9.163,,,,
18/05/17,23:37:44,8.444,,,,
19/05/17,00:37:44,7.795,,,,
19/05/17,01:37:44,7.519,,,,
19/05/17,02:37:44,7.318,,,,
19/05/17,03:37:44,6.965,,,,
19/05/17,04:37:44,6.712,,,,
19/05/17,05:37:44,6.940,,,,
19/05/17,06:37:44,6.611,,,,
19/05/17,07:37:44,6.408,,,,
19/05/17,08:37:44,7.368,,,,
19/05/17,09:37:44,7.670,,,,
19/05/17,10:37:44,8.419,,,,
19/05/17,11:37:44,9.460,,,,
19/05/17,12:37:44,10.761,,,,
19/05/17,13:37:44,13.088,,,,
19/05/17,14:37:44,13.978,,,,
19/05/17,15:37:44,16.511,,,,
19/05/17,16:37:44,17.582,,,,
19/05/17,17:37:44,25.550,,,,
19/05/17,18:37:44,24.195,,,,
19/05/17,19:37:44,24.122,,,,
19/05/17,20:37:44,15.175,,,,
19/05/17,21:37:44,11.977,,,,
19/05/17,22:37:44,10.761,,,,
19/05/17,23:37:44,9.928,,,,
20/05/17,00:37:44,9.336,,,,
20/05/17,01:37:44,8.841,,,,
20/05/17,02:37:44,8.618,,,,
20/05/17,03:37:44,8.618,,,,
20/05/17,04:37:44,8.519,,,,
20/05/17,05:37:44,8.444,,,,
20/05/17,06:37:44,8.369,,,,
20/05/17,07:37:44,8.469,,,,
20/05/17,08:37:44,8.866,,,,
20/05/17,09:37:44,9.361,,,,
20/05/17,10:37:44,10.051,,,,
20/05/17,11:37:44,11.273,,,,
20/05/17,12:37:44,12.582,,,,
20/05/17,13:37:44,14.960,,,,
20/05/17,14:37:44,15.939,,,,
20/05/17,15:37:44,18.580,,,,
20/05/17,16:37:44,19.460,,,,
20/05/17,17:37:44,28.568,,,,
20/05/17,18:37:44,26.646,,,,
20/05/17,19:37:44,26.378,,,,
20/05/17,20:37:44,17.296,,,,
20/05/17,21:37:44,13.906,,,,
20/05/17,22:37:44,12.485,,,,
20/05/17,23:37:44,11.516,,,,
21/05/17,00:37:44,11.029,,,,
21/05/17,01:37:44,11.832,,,,
21/05/17,02:37:44,12.098,,,,
21/05/17,03:37:44,11.856,,,,
21/05/17,04:37:44,11.953,,,,
21/05/17,05:37:44,12.243,,,,
21/05/17,06:37:44,12.509,,,,
21/05/17,07:37:44,12.582,,,,
21/05/17,08:37:44,13.064,,,,
21/05/17,09:37:44,14.050,,,,
21/05/17,10:37:44,15.270,,,,
21/05/17,11:37:44,16.392,,,,
21/05/17,12:37:44,17.320,,,,
21/05/17,13:37:44,18.033,,,,
21/05/17,14:37:44,17.915,,,,
21/05/17,15:37:44,16.153,,,,
21/05/17,16:37:44,16.939,,,,
21/05/17,17:37:44,16.963,,,,
21/05/17,18:37:44,16.272,,,,
21/05/17,19:37:44,16.606,,,,
21/05/17,20:37:44,14.960,,,,
21/05/17,21:37:44,14.266,,,,
21/05/17,22:37:44,13.954,,,,
21/05/17,23:37:44,13.738,,,,
22/05/17,00:37:44,13.690,,,,
22/05/17,01:37:44,13.449,,,,
22/05/17,02:37:44,13.425,,,,
22/05/17,03:37:44,13.522,,,,
22/05/17,04:37:44,13.209,,,,
22/05/17,05:37:44,12.968,,,,
22/05/17,06:37:44,12.678,,,,
22/05/17,07:37:44,12.437,,,,
22/05/17,08:37:44,12.630,,,,
22/05/17,09:37:44,12.727,,,,
22/05/17,10:37:44,13.112,,,,
22/05/17,11:37:44,13.762,,,,
22/05/17,12:37:44,14.840,,,,
22/05/17,13:37:44,17.082,,,,
22/05/17,14:37:44,18.224,,,,
22/05/17,15:37:44,20.698,,,,
22/05/17,16:37:44,20.793,,,,
22/05/17,17:37:44,30.192,,,,
22/05/17,18:37:44,27.974,,,,
22/05/17,19:37:44,27.899,,,,
22/05/17,20:37:44,18.771,,,,
22/05/17,21:37:44,15.079,,,,
22/05/17,22:37:44,13.618,,,,
22/05/17,23:37:44,12.630,,,,
23/05/17,00:37:44,12.147,,,,
23/05/17,01:37:44,11.880,,,,
23/05/17,02:37:44,11.807,,,,
23/05/17,03:37:44,12.001,,,,
23/05/17,04:37:44,12.122,,,,
23/05/17,05:37:44,11.540,,,,
23/05/17,06:37:44,11.175,,,,
23/05/17,07:37:44,11.540,,,,
23/05/17,08:37:44,11.759,,,,
23/05/17,09:37:44,12.437,,,,
23/05/17,10:37:44,13.401,,,,
23/05/17,11:37:44,14.529,,,,
23/05/17,12:37:44,15.533,,,,
23/05/17,13:37:44,17.677,,,,
23/05/17,14:37:44,18.176,,,,
23/05/17,15:37:44,17.486,,,,
23/05/17,16:37:44,16.201,,,,
23/05/17,17:37:44,19.246,,,,
23/05/17,18:37:44,26.451,,,,
23/05/17,19:37:44,26.720,,,,
23/05/17,20:37:44,18.652,,,,
23/05/17,21:37:44,14.936,,,,
23/05/17,22:37:44,13.642,,,,
23/05/17,23:37:44,12.944,,,,
24/05/17,00:37:44,12.413,,,,
24/05/17,01:37:44,12.050,,,,
24/05/17,02:37:44,11.856,,,,
24/05/17,03:37:44,11.759,,,,
24/05/17,04:37:44,11.540,,,,
24/05/17,05:37:44,11.200,,,,
24/05/17,06:37:44,11.078,,,,
24/05/17,07:37:44,10.956,,,,
24/05/17,08:37:44,11.540,,,,
24/05/17,09:37:44,12.219,,,,
24/05/17,10:37:44,13.064,,,,
24/05/17,11:37:44,14.266,,,,
24/05/17,12:37:44,15.652,,,,
24/05/17,13:37:44,15.270,,,,
24/05/17,14:37:44,15.533,,,,
24/05/17,15:37:44,16.606,,,,
24/05/17,16:37:44,17.629,,,,
24/05/17,17:37:44,15.796,,,,
24/05/17,18:37:44,14.098,,,,
24/05/17,19:37:44,17.249,,,,
24/05/17,20:37:44,15.223,,,,
24/05/17,21:37:44,12.799,,,,
24/05/17,22:37:44,12.074,,,,
24/05/17,23:37:44,11.637,,,,
25/05/17,00:37:44,11.662,,,,
25/05/17,01:37:44,11.540,,,,
25/05/17,02:37:44,11.637,,,,
25/05/17,03:37:44,11.807,,,,
25/05/17,04:37:44,11.467,,,,
25/05/17,05:37:44,11.589,,,,
25/05/17,06:37:44,11.175,,,,
25/05/17,07:37:44,11.443,,,,
25/05/17,08:37:44,12.268,,,,
25/05/17,09:37:44,12.920,,,,
25/05/17,10:37:44,13.882,,,,
25/05/17,11:37:44,15.151,,,,
25/05/17,12:37:44,16.868,,,,
25/05/17,13:37:44,18.033,,,,
25/05/17,14:37:44,18.105,,,,
25/05/17,15:37:44,18.129,,,,
25/05/17,16:37:44,17.843,,,,
25/05/17,17:37:44,19.865,,,,
25/05/17,18:37:44,22.082,,,,
25/05/17,19:37:44,26.818,,,,
25/05/17,20:37:44,18.985,,,,
25/05/17,21:37:44,14.912,,,,
25/05/17,22:37:44,13.546,,,,
25/05/17,23:37:44,13.064,,,,
26/05/17,00:37:44,12.461,,,,
26/05/17,01:37:44,11.953,,,,
26/05/17,02:37:44,11.589,,,,
26/05/17,03:37:44,11.273,,,,
26/05/17,04:37:44,10.956,,,,
26/05/17,05:37:44,10.712,,,,
26/05/17,06:37:44,10.516,,,,
26/05/17,07:37:44,10.614,,,,
26/05/17,08:37:44,11.224,,,,
26/05/17,09:37:44,12.147,,,,
26/05/17,10:37:44,13.257,,,,
26/05/17,11:37:44,14.409,,,,
26/05/17,12:37:44,15.533,,,,
26/05/17,13:37:44,17.368,,,,
26/05/17,14:37:44,17.320,,,,
26/05/17,15:37:44,17.748,,,,
26/05/17,16:37:44,16.463,,,,
26/05/17,17:37:44,21.652,,,,
26/05/17,18:37:44,17.130,,,,
26/05/17,19:37:44,21.700,,,,
26/05/17,20:37:44,17.843,,,,
26/05/17,21:37:44,14.601,,,,
26/05/17,22:37:44,13.329,,,,
26/05/17,23:37:44,12.799,,,,
27/05/17,00:37:44,12.171,,,,
27/05/17,01:37:44,11.904,,,,
27/05/17,02:37:44,11.516,,,,
27/05/17,03:37:44,11.297,,,,
27/05/17,04:37:44,10.932,,,,
27/05/17,05:37:44,11.200,,,,
27/05/17,06:37:44,11.492,,,,
27/05/17,07:37:44,11.540,,,,
27/05/17,08:37:44,11.662,,,,
27/05/17,09:37:44,12.340,,,,
27/05/17,10:37:44,13.209,,,,
27/05/17,11:37:44,14.290,,,,
27/05/17,12:37:44,15.557,,,,
27/05/17,13:37:44,17.582,,,,
27/05/17,14:37:44,19.484,,,,
27/05/17,15:37:44,22.178,,,,
27/05/17,16:37:44,21.795,,,,
27/05/17,17:37:44,28.444,,,,
27/05/17,18:37:44,24.823,,,,
27/05/17,19:37:44,22.489,,,,
27/05/17,20:37:44,18.747,,,,
27/05/17,21:37:44,15.676,,,,
27/05/17,22:37:44,14.290,,,,
27/05/17,23:37:44,14.218,,,,
28/05/17,00:37:44,14.266,,,,
28/05/17,01:37:44,13.858,,,,
28/05/17,02:37:44,13.882,,,,
28/05/17,03:37:44,13.040,,,,
28/05/17,04:37:44,13.016,,,,
28/05/17,05:37:44,12.534,,,,
28/05/17,06:37:44,13.281,,,,
28/05/17,07:37:44,13.449,,,,
28/05/17,08:37:44,13.618,,,,
28/05/17,09:37:44,14.601,,,,
28/05/17,10:37:44,15.533,,,,
28/05/17,11:37:44,16.868,,,,
28/05/17,12:37:44,17.796,,,,
28/05/17,13:37:44,19.841,,,,
28/05/17,14:37:44,20.913,,,,
28/05/17,15:37:44,23.521,,,,
28/05/17,16:37:44,21.891,,,,
28/05/17,17:37:44,25.428,,,,
28/05/17,18:37:44,21.604,,,,
28/05/17,19:37:44,21.509,,,,
28/05/17,20:37:44,16.820,,,,
28/05/17,21:37:44,15.151,,,,
28/05/17,22:37:44,14.529,,,,
28/05/17,23:37:44,14.002,,,,
29/05/17,00:37:44,13.546,,,,
29/05/17,01:37:44,13.305,,,,
29/05/17,02:37:44,13.088,,,,
29/05/17,03:37:44,12.485,,,,
29/05/17,04:37:44,12.413,,,,
29/05/17,05:37:44,11.637,,,,
29/05/17,06:37:44,11.078,,,,
29/05/17,07:37:44,10.736,,,,
29/05/17,08:37:44,11.127,,,,
