Date,Time,Temp (°C)  #9695081,Coupler Detached  #9695081,Coupler Attached  #9695081,Host Connected  #9695081,Bad Battery  #9695081,Good Battery  #9695081,End Of File  #9695081
10/05/17,00:24:54,9.262,,,,,,
10/05/17,01:24:54,8.245,,,,,,
10/05/17,02:24:54,8.145,,,,,,
10/05/17,03:24:54,8.195,,,,,,
10/05/17,04:24:54,7.920,,,,,,
10/05/17,05:24:54,8.020,,,,,,
10/05/17,06:24:54,8.593,,,,,,
10/05/17,07:24:54,8.965,,,,,,
10/05/17,08:24:54,8.965,,,,,,
10/05/17,09:24:54,9.558,,,,,,
10/05/17,10:24:54,9.903,,,,,,
10/05/17,11:24:54,10.736,,,,,,
10/05/17,12:24:54,10.026,,,,,,
10/05/17,13:24:54,10.980,,,,,,
10/05/17,14:24:54,21.318,,,,,,
10/05/17,15:24:54,27.998,,,,,,
10/05/17,16:24:54,21.175,,,,,,
10/05/17,17:24:54,19.722,,,,,,
10/05/17,18:24:54,14.553,,,,,,
10/05/17,19:24:54,12.775,,,,,,
10/05/17,20:24:54,11.248,,,,,,
10/05/17,21:24:54,9.805,,,,,,
10/05/17,22:24:54,8.568,,,,,,
10/05/17,23:24:54,7.870,,,,,,
11/05/17,00:24:54,8.717,,,,,,
11/05/17,01:24:54,8.742,,,,,,
11/05/17,02:24:54,8.419,,,,,,
11/05/17,03:24:54,7.745,,,,,,
11/05/17,04:24:54,7.268,,,,,,
11/05/17,05:24:54,6.408,,,,,,
11/05/17,06:24:54,5.821,,,,,,
11/05/17,07:24:54,5.770,,,,,,
11/05/17,08:24:54,5.949,,,,,,
11/05/17,09:24:54,6.102,,,,,,
11/05/17,10:24:54,5.872,,,,,,
11/05/17,11:24:54,7.041,,,,,,
11/05/17,12:24:54,8.568,,,,,,
11/05/17,13:24:54,9.015,,,,,,
11/05/17,14:24:54,8.469,,,,,,
11/05/17,15:24:54,7.494,,,,,,
11/05/17,16:24:54,9.213,,,,,,
11/05/17,17:24:54,7.217,,,,,,
11/05/17,18:24:54,7.293,,,,,,
11/05/17,19:24:54,6.940,,,,,,
11/05/17,20:24:54,6.230,,,,,,
11/05/17,21:24:54,4.869,,,,,,
11/05/17,22:24:54,4.869,,,,,,
11/05/17,23:24:54,4.662,,,,,,
12/05/17,00:24:54,4.454,,,,,,
12/05/17,01:24:54,4.610,,,,,,
12/05/17,02:24:54,4.454,,,,,,
12/05/17,03:24:54,4.869,,,,,,
12/05/17,04:24:54,4.194,,,,,,
12/05/17,05:24:54,3.564,,,,,,
12/05/17,06:24:54,3.932,,,,,,
12/05/17,07:24:54,4.220,,,,,,
12/05/17,08:24:54,4.714,,,,,,
12/05/17,09:24:54,5.179,,,,,,
12/05/17,10:24:54,6.255,,,,,,
12/05/17,11:24:54,7.217,,,,,,
12/05/17,12:24:54,7.895,,,,,,
12/05/17,13:24:54,9.163,,,,,,
12/05/17,14:24:54,8.220,,,,,,
12/05/17,15:24:54,8.916,,,,,,
