"Título de trazado: P4"
"N.º","Fecha","Tiempo, GMT+02:00","Temp, °C (LGR S/N: 9761966, SEN S/N: 9761966)","Acoplador separado (LGR S/N: 9761966)","Batería mala (LGR S/N: 9761966)","Batería buena (LGR S/N: 9761966)","Acoplador adjunto (LGR S/N: 9761966)","Host conectado (LGR S/N: 9761966)","Final de archivo (LGR S/N: 9761966)"
218,11/05/17,12:54:30,11.151,,,,,,
219,11/05/17,13:54:30,10.980,,,,,,
220,11/05/17,14:54:30,7.695,,,,,,
221,11/05/17,15:54:30,7.293,,,,,,
222,11/05/17,16:54:30,7.469,,,,,,
223,11/05/17,17:54:30,6.839,,,,,,
224,11/05/17,18:54:30,7.619,,,,,,
225,11/05/17,19:54:30,6.051,,,,,,
226,11/05/17,20:54:30,5.282,,,,,,
227,11/05/17,21:54:30,3.932,,,,,,
228,11/05/17,22:54:30,4.168,,,,,,
229,11/05/17,23:54:30,3.854,,,,,,
230,12/05/17,00:54:30,3.512,,,,,,
231,12/05/17,01:54:30,3.854,,,,,,
232,12/05/17,02:54:30,3.670,,,,,,
233,12/05/17,03:54:30,4.115,,,,,,
234,12/05/17,04:54:30,3.274,,,,,,
235,12/05/17,05:54:30,2.770,,,,,,
236,12/05/17,06:54:30,3.354,,,,,,
237,12/05/17,07:54:30,3.722,,,,,,
238,12/05/17,08:54:30,4.818,,,,,,
239,12/05/17,09:54:30,5.385,,,,,,
240,12/05/17,10:54:30,6.788,,,,,,
241,12/05/17,11:54:30,8.344,,,,,,
242,12/05/17,12:54:30,8.618,,,,,,
243,12/05/17,13:54:30,8.990,,,,,,
244,12/05/17,14:54:30,11.053,,,,,,
245,12/05/17,15:54:30,9.336,,,,,,
246,12/05/17,16:54:30,8.020,,,,,,
247,12/05/17,17:54:30,8.817,,,,,,
248,12/05/17,18:54:30,7.217,,,,,,
249,12/05/17,19:54:30,6.661,,,,,,
250,12/05/17,20:54:30,6.102,,,,,,
251,12/05/17,21:54:30,5.642,,,,,,
252,12/05/17,22:54:30,5.385,,,,,,
253,12/05/17,23:54:30,4.402,,,,,,
254,13/05/17,00:54:30,4.298,,,,,,
255,13/05/17,01:54:30,3.749,,,,,,
256,13/05/17,02:54:30,3.932,,,,,,
257,13/05/17,03:54:30,3.643,,,,,,
258,13/05/17,04:54:30,2.664,,,,,,
259,13/05/17,05:54:30,2.074,,,,,,
260,13/05/17,06:54:30,2.074,,,,,,
261,13/05/17,07:54:30,1.967,,,,,,
262,13/05/17,08:54:30,1.913,,,,,,
263,13/05/17,09:54:30,1.967,,,,,,
264,13/05/17,10:54:30,2.182,,,,,,
265,13/05/17,11:54:30,7.645,,,,,,
266,13/05/17,12:54:30,13.329,,,,,,
267,13/05/17,13:54:30,18.747,,,,,,
268,13/05/17,14:54:30,15.772,,,,,,
269,13/05/17,15:54:30,14.266,,,,,,
270,13/05/17,16:54:30,15.031,,,,,,
271,13/05/17,17:54:30,12.243,,,,,,
272,13/05/17,18:54:30,9.435,,,,,,
273,13/05/17,19:54:30,8.419,,,,,,
274,13/05/17,20:54:30,7.368,,,,,,
275,13/05/17,21:54:30,6.940,,,,,,
276,13/05/17,22:54:30,6.661,,,,,,
277,13/05/17,23:54:30,6.102,,,,,,
278,14/05/17,00:54:30,4.324,,,,,,
279,14/05/17,01:54:30,3.142,,,,,,
280,14/05/17,02:54:30,2.370,,,,,,
281,14/05/17,03:54:30,2.182,,,,,,
282,14/05/17,04:54:30,2.074,,,,,,
283,14/05/17,05:54:30,2.155,,,,,,
284,14/05/17,06:54:30,2.047,,,,,,
285,14/05/17,07:54:30,2.074,,,,,,
286,14/05/17,08:54:30,2.074,,,,,,
287,14/05/17,09:54:30,2.557,,,,,,
288,14/05/17,10:54:30,3.696,,,,,,
289,14/05/17,11:54:30,8.742,,,,,,
290,14/05/17,12:54:30,13.161,,,,,,
291,14/05/17,13:54:30,16.820,,,,,,
292,14/05/17,14:54:30,16.082,,,,,,
293,14/05/17,15:54:30,14.792,,,,,,
294,14/05/17,16:54:30,13.305,,,,,,
295,14/05/17,17:54:30,12.582,,,,,,
296,14/05/17,18:54:30,12.727,,,,,,
297,14/05/17,19:54:30,11.443,,,,,,
298,14/05/17,20:54:30,9.756,,,,,,
299,14/05/17,21:54:30,6.763,,,,,,
300,14/05/17,22:54:30,5.719,,,,,,
301,14/05/17,23:54:30,4.947,,,,,,
302,15/05/17,00:54:30,4.376,,,,,,
303,15/05/17,01:54:30,4.115,,,,,,
304,15/05/17,02:54:30,3.932,,,,,,
305,15/05/17,03:54:30,3.670,,,,,,
306,15/05/17,04:54:30,3.142,,,,,,
307,15/05/17,05:54:30,2.956,,,,,,
308,15/05/17,06:54:30,2.823,,,,,,
309,15/05/17,07:54:30,2.877,,,,,,
310,15/05/17,08:54:30,3.406,,,,,,
311,15/05/17,09:54:30,4.115,,,,,,
312,15/05/17,10:54:30,5.102,,,,,,
313,15/05/17,11:54:30,10.247,,,,,,
314,15/05/17,12:54:30,17.011,,,,,,
315,15/05/17,13:54:30,22.011,,,,,,
316,15/05/17,14:54:30,19.793,,,,,,
317,15/05/17,15:54:30,23.569,,,,,,
318,15/05/17,16:54:30,24.944,,,,,,
319,15/05/17,17:54:30,22.705,,,,,,
320,15/05/17,18:54:30,20.341,,,,,,
321,15/05/17,19:54:30,16.082,,,,,,
322,15/05/17,20:54:30,12.509,,,,,,
323,15/05/17,21:54:30,9.509,,,,,,
324,15/05/17,22:54:30,8.170,,,,,,
325,15/05/17,23:54:30,8.045,,,,,,
326,16/05/17,00:54:30,7.519,,,,,,
327,16/05/17,01:54:30,6.889,,,,,,
328,16/05/17,02:54:30,6.636,,,,,,
329,16/05/17,03:54:30,6.331,,,,,,
330,16/05/17,04:54:30,5.872,,,,,,
331,16/05/17,05:54:30,5.847,,,,,,
332,16/05/17,06:54:30,5.719,,,,,,
333,16/05/17,07:54:30,5.693,,,,,,
334,16/05/17,08:54:30,6.408,,,,,,
335,16/05/17,09:54:30,7.015,,,,,,
336,16/05/17,10:54:30,8.220,,,,,,
337,16/05/17,11:54:30,13.329,,,,,,
338,16/05/17,12:54:30,16.963,,,,,,
339,16/05/17,13:54:30,20.507,,,,,,
340,16/05/17,14:54:30,18.604,,,,,,
341,16/05/17,15:54:30,21.079,,,,,,
342,16/05/17,16:54:30,22.537,,,,,,
343,16/05/17,17:54:30,21.390,,,,,,
344,16/05/17,18:54:30,18.533,,,,,,
345,16/05/17,19:54:30,16.368,,,,,,
346,16/05/17,20:54:30,13.161,,,,,,
347,16/05/17,21:54:30,9.558,,,,,,
348,16/05/17,22:54:30,8.519,,,,,,
349,16/05/17,23:54:30,7.870,,,,,,
350,17/05/17,00:54:30,7.343,,,,,,
351,17/05/17,01:54:30,7.116,,,,,,
352,17/05/17,02:54:30,6.839,,,,,,
353,17/05/17,03:54:30,6.560,,,,,,
354,17/05/17,04:54:30,6.306,,,,,,
355,17/05/17,05:54:30,6.357,,,,,,
356,17/05/17,06:54:30,6.382,,,,,,
357,17/05/17,07:54:30,6.712,,,,,,
358,17/05/17,08:54:30,7.444,,,,,,
359,17/05/17,09:54:30,9.608,,,,,,
360,17/05/17,10:54:30,12.534,,,,,,
361,17/05/17,11:54:30,14.385,,,,,,
362,17/05/17,12:54:30,20.412,,,,,,
363,17/05/17,13:54:30,27.063,,,,,,
364,17/05/17,14:54:30,26.378,,,,,,
365,17/05/17,15:54:30,29.890,,,,,,
366,17/05/17,16:54:30,29.290,,,,,,
367,17/05/17,17:54:30,26.695,,,,,,
368,17/05/17,18:54:30,21.604,,,,,,
369,17/05/17,19:54:30,18.271,,,,,,
370,17/05/17,20:54:30,14.529,,,,,,
371,17/05/17,21:54:30,10.492,,,,,,
372,17/05/17,22:54:30,8.593,,,,,,
373,17/05/17,23:54:30,7.619,,,,,,
374,18/05/17,00:54:30,6.839,,,,,,
375,18/05/17,01:54:30,6.458,,,,,,
376,18/05/17,02:54:30,6.535,,,,,,
377,18/05/17,03:54:30,6.712,,,,,,
378,18/05/17,04:54:30,6.306,,,,,,
379,18/05/17,05:54:30,6.000,,,,,,
380,18/05/17,06:54:30,5.949,,,,,,
381,18/05/17,07:54:30,6.051,,,,,,
382,18/05/17,08:54:30,5.975,,,,,,
383,18/05/17,09:54:30,6.585,,,,,,
384,18/05/17,10:54:30,7.544,,,,,,
385,18/05/17,11:54:30,13.088,,,,,,
386,18/05/17,12:54:30,13.978,,,,,,
387,18/05/17,13:54:30,19.008,,,,,,
388,18/05/17,14:54:30,21.127,,,,,,
389,18/05/17,15:54:30,24.363,,,,,,
390,18/05/17,16:54:30,27.284,,,,,,
391,18/05/17,17:54:30,26.867,,,,,,
392,18/05/17,18:54:30,23.016,,,,,,
393,18/05/17,19:54:30,18.247,,,,,,
394,18/05/17,20:54:30,12.823,,,,,,
395,18/05/17,21:54:30,7.645,,,,,,
396,18/05/17,22:54:30,5.693,,,,,,
397,18/05/17,23:54:30,4.921,,,,,,
398,19/05/17,00:54:30,3.985,,,,,,
399,19/05/17,01:54:30,3.670,,,,,,
400,19/05/17,02:54:30,3.433,,,,,,
401,19/05/17,03:54:30,3.354,,,,,,
402,19/05/17,04:54:30,2.930,,,,,,
403,19/05/17,05:54:30,3.485,,,,,,
404,19/05/17,06:54:30,2.850,,,,,,
405,19/05/17,07:54:30,2.423,,,,,,
406,19/05/17,08:54:30,3.827,,,,,,
407,19/05/17,09:54:30,4.480,,,,,,
408,19/05/17,10:54:30,5.745,,,,,,
409,19/05/17,11:54:30,12.122,,,,,,
410,19/05/17,12:54:30,20.174,,,,,,
411,19/05/17,13:54:30,27.333,,,,,,
412,19/05/17,14:54:30,28.345,,,,,,
413,19/05/17,15:54:30,31.179,,,,,,
414,19/05/17,16:54:30,32.381,,,,,,
415,19/05/17,17:54:30,29.389,,,,,,
416,19/05/17,18:54:30,24.968,,,,,,
417,19/05/17,19:54:30,19.770,,,,,,
418,19/05/17,20:54:30,14.697,,,,,,
419,19/05/17,21:54:30,9.854,,,,,,
420,19/05/17,22:54:30,8.344,,,,,,
421,19/05/17,23:54:30,7.268,,,,,,
422,20/05/17,00:54:30,6.230,,,,,,
423,20/05/17,01:54:30,5.488,,,,,,
424,20/05/17,02:54:30,5.437,,,,,,
425,20/05/17,03:54:30,5.745,,,,,,
426,20/05/17,04:54:30,5.898,,,,,,
427,20/05/17,05:54:30,5.719,,,,,,
428,20/05/17,06:54:30,5.770,,,,,,
429,20/05/17,07:54:30,6.128,,,,,,
430,20/05/17,08:54:30,6.051,,,,,,
431,20/05/17,09:54:30,6.331,,,,,,
432,20/05/17,10:54:30,7.116,,,,,,
433,20/05/17,11:54:30,14.098,,,,,,
434,20/05/17,12:54:30,22.513,,,,,,
435,20/05/17,13:54:30,30.444,,,,,,
436,20/05/17,14:54:30,31.128,,,,,,
437,20/05/17,15:54:30,33.261,,,,,,
438,20/05/17,16:54:30,34.916,,,,,,
439,20/05/17,17:54:30,32.150,,,,,,
440,20/05/17,18:54:30,27.899,,,,,,
441,20/05/17,19:54:30,23.208,,,,,,
442,20/05/17,20:54:30,16.892,,,,,,
443,20/05/17,21:54:30,12.219,,,,,,
444,20/05/17,22:54:30,10.247,,,,,,
445,20/05/17,23:54:30,8.792,,,,,,
446,21/05/17,00:54:30,7.995,,,,,,
447,21/05/17,01:54:30,9.312,,,,,,
448,21/05/17,02:54:30,9.928,,,,,,
449,21/05/17,03:54:30,9.780,,,,,,
450,21/05/17,04:54:30,10.100,,,,,,
451,21/05/17,05:54:30,10.467,,,,,,
452,21/05/17,06:54:30,10.932,,,,,,
453,21/05/17,07:54:30,11.273,,,,,,
454,21/05/17,08:54:30,12.413,,,,,,
455,21/05/17,09:54:30,14.242,,,,,,
456,21/05/17,10:54:30,16.844,,,,,,
457,21/05/17,11:54:30,19.555,,,,,,
458,21/05/17,12:54:30,22.729,,,,,,
459,21/05/17,13:54:30,24.002,,,,,,
460,21/05/17,14:54:30,23.665,,,,,,
461,21/05/17,15:54:30,20.055,,,,,,
462,21/05/17,16:54:30,21.485,,,,,,
463,21/05/17,17:54:30,20.031,,,,,,
464,21/05/17,18:54:30,18.414,,,,,,
465,21/05/17,19:54:30,16.915,,,,,,
466,21/05/17,20:54:30,14.409,,,,,,
467,21/05/17,21:54:30,13.305,,,,,,
468,21/05/17,22:54:30,12.703,,,,,,
469,21/05/17,23:54:30,12.437,,,,,,
470,22/05/17,00:54:30,12.243,,,,,,
471,22/05/17,01:54:30,11.929,,,,,,
472,22/05/17,02:54:30,12.147,,,,,,
473,22/05/17,03:54:30,12.074,,,,,,
474,22/05/17,04:54:30,11.832,,,,,,
475,22/05/17,05:54:30,11.151,,,,,,
476,22/05/17,06:54:30,10.785,,,,,,
477,22/05/17,07:54:30,10.663,,,,,,
478,22/05/17,08:54:30,10.810,,,,,,
479,22/05/17,09:54:30,10.834,,,,,,
480,22/05/17,10:54:30,11.102,,,,,,
481,22/05/17,11:54:30,17.415,,,,,,
482,22/05/17,12:54:30,26.378,,,,,,
483,22/05/17,13:54:30,33.339,,,,,,
484,22/05/17,14:54:30,33.131,,,,,,
485,22/05/17,15:54:30,35.235,,,,,,
486,22/05/17,16:54:30,36.362,,,,,,
487,22/05/17,17:54:30,33.835,,,,,,
488,22/05/17,18:54:30,29.715,,,,,,
489,22/05/17,19:54:30,24.171,,,,,,
490,22/05/17,20:54:30,18.366,,,,,,
491,22/05/17,21:54:30,12.871,,,,,,
492,22/05/17,22:54:30,10.980,,,,,,
493,22/05/17,23:54:30,9.805,,,,,,
494,23/05/17,00:54:30,9.262,,,,,,
495,23/05/17,01:54:30,8.965,,,,,,
496,23/05/17,02:54:30,9.040,,,,,,
497,23/05/17,03:54:30,9.706,,,,,,
498,23/05/17,04:54:30,9.903,,,,,,
499,23/05/17,05:54:30,9.064,,,,,,
500,23/05/17,06:54:30,8.319,,,,,,
501,23/05/17,07:54:30,8.916,,,,,,
502,23/05/17,08:54:30,9.064,,,,,,
503,23/05/17,09:54:30,10.100,,,,,,
504,23/05/17,10:54:30,11.492,,,,,,
505,23/05/17,11:54:30,17.320,,,,,,
506,23/05/17,12:54:30,25.162,,,,,,
507,23/05/17,13:54:30,30.545,,,,,,
508,23/05/17,14:54:30,30.545,,,,,,
509,23/05/17,15:54:30,22.705,,,,,,
510,23/05/17,16:54:30,18.485,,,,,,
511,23/05/17,17:54:30,23.136,,,,,,
512,23/05/17,18:54:30,25.695,,,,,,
513,23/05/17,19:54:30,21.963,,,,,,
514,23/05/17,20:54:30,17.034,,,,,,
515,23/05/17,21:54:30,12.509,,,,,,
516,23/05/17,22:54:30,11.078,,,,,,
517,23/05/17,23:54:30,10.492,,,,,,
518,24/05/17,00:54:30,10.026,,,,,,
519,24/05/17,01:54:30,9.361,,,,,,
520,24/05/17,02:54:30,8.841,,,,,,
521,24/05/17,03:54:30,8.693,,,,,,
522,24/05/17,04:54:30,8.469,,,,,,
523,24/05/17,05:54:30,8.220,,,,,,
524,24/05/17,06:54:30,8.145,,,,,,
525,24/05/17,07:54:30,8.444,,,,,,
526,24/05/17,08:54:30,9.064,,,,,,
527,24/05/17,09:54:30,9.854,,,,,,
528,24/05/17,10:54:30,11.248,,,,,,
529,24/05/17,11:54:30,17.296,,,,,,
530,24/05/17,12:54:30,23.232,,,,,,
531,24/05/17,13:54:30,19.555,,,,,,
532,24/05/17,14:54:30,17.724,,,,,,
533,24/05/17,15:54:30,20.889,,,,,,
534,24/05/17,16:54:30,22.034,,,,,,
535,24/05/17,17:54:30,18.224,,,,,,
536,24/05/17,18:54:30,15.509,,,,,,
