geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
R210	37.1009816610316	37.1009816610316	-3.37273758056293	-3.37273758056293
R209	37.1010075491499	37.1010075491499	-3.37270387097496	-3.37270387097496
R208	37.1010042584815	37.1010042584815	-3.37269830004005	-3.37269830004005
R207	37.1009259587288	37.1009259587288	-3.37260093238531	-3.37260093238531
R206	37.1009912856627	37.1009912856627	-3.3725699907557	-3.3725699907557
R205	37.100986755612	37.100986755612	-3.37260427539086	-3.37260427539086
R204	37.100932878696	37.100932878696	-3.37262594153402	-3.37262594153402
R203	37.1009166352348	37.1009166352348	-3.37262910753012	-3.37262910753012
R202	37.1009093446887	37.1009093446887	-3.37268214858676	-3.37268214858676
R201	37.1009169728993	37.1009169728993	-3.37270580289003	-3.37270580289003
P210	37.1010502305242	37.1010502305242	-3.37273440874363	-3.37273440874363
P209	37.1010299528979	37.1010299528979	-3.37278585799532	-3.37278585799532
R310	37.100028286205	37.100028286205	-3.37366698080946	-3.37366698080946
R309	37.0999678820126	37.0999678820126	-3.37361025222767	-3.37361025222767
R308	37.0999904390559	37.0999904390559	-3.3736436824349	-3.3736436824349
R307	37.0998996830757	37.0998996830757	-3.37364256938357	-3.37364256938357
R306	37.0998958402602	37.0998958402602	-3.37365719020277	-3.37365719020277
R305	37.0998443726805	37.0998443726805	-3.37368798921876	-3.37368798921876
R304	37.0998191608223	37.0998191608223	-3.37366548330027	-3.37366548330027
R303	37.0998012844354	37.0998012844354	-3.37371140767281	-3.37371140767281
R302	37.099767281388	37.099767281388	-3.37367251175768	-3.37367251175768
R301	37.0997262760924	37.0997262760924	-3.37368541504331	-3.37368541504331
B310	37.0996877731921	37.0996877731921	-3.37372031652995	-3.37372031652995
B309	37.0997487255877	37.0997487255877	-3.37375153152106	-3.37375153152106
B308	37.0997846913377	37.0997846913377	-3.37374484469896	-3.37374484469896
B307	37.0998056751748	37.0998056751748	-3.37375203073271	-3.37375203073271
B306	37.0998457379027	37.0998457379027	-3.37374532351983	-3.37374532351983
B305	37.0998845390945	37.0998845390945	-3.37376164153405	-3.37376164153405
E306	37.1002231018405	37.1002231018405	-3.37371476370877	-3.37371476370877
E305	37.1002096673763	37.1002096673763	-3.37367295039641	-3.37367295039641
E304	37.1002064938009	37.1002064938009	-3.37368887547181	-3.37368887547181
E303	37.1001406741377	37.1001406741377	-3.37356570958733	-3.37356570958733
E302	37.1001652467902	37.1001652467902	-3.37358310444353	-3.37358310444353
E301	37.1001588985985	37.1001588985985	-3.37365419795452	-3.37365419795452
G310	37.0999070549438	37.0999070549438	-3.37338440612852	-3.37338440612852
G309	37.0998586017884	37.0998586017884	-3.37347987939326	-3.37347987939326
G308	37.099858982213	37.099858982213	-3.37352565826893	-3.37352565826893
G307	37.0999939570497	37.0999939570497	-3.37346978098377	-3.37346978098377
G306	37.1000140585642	37.1000140585642	-3.37355447243054	-3.37355447243054
G305	37.1000535445502	37.1000535445502	-3.37358633712787	-3.37358633712787
G304	37.1000702290257	37.1000702290257	-3.37360456650872	-3.37360456650872
G303	37.1001054381625	37.1001054381625	-3.37364775944835	-3.37364775944835
G302	37.1000916082302	37.1000916082302	-3.37369253575552	-3.37369253575552
G301	37.1001015495826	37.1001015495826	-3.37373868246561	-3.37373868246561
P310	37.1001722053345	37.1001722053345	-3.37361754747173	-3.37361754747173
P309	37.100184437559	37.100184437559	-3.37362753655264	-3.37362753655264
P308	37.1001712857778	37.1001712857778	-3.37365048322586	-3.37365048322586
P307	37.100185048663	37.100185048663	-3.37363270268403	-3.37363270268403
P306	37.1002042481327	37.1002042481327	-3.37364690668277	-3.37364690668277
P305	37.1002116692854	37.1002116692854	-3.37368014112387	-3.37368014112387
P304	37.1002315677871	37.1002315677871	-3.37369306004052	-3.37369306004052
P303	37.1002333687519	37.1002333687519	-3.37367248274851	-3.37367248274851
P302	37.1002579732452	37.1002579732452	-3.37366546658576	-3.37366546658576
P301	37.1002523786305	37.1002523786305	-3.37367934175977	-3.37367934175977
E310	37.1001197724421	37.1001197724421	-3.37379218130254	-3.37379218130254
E309	37.100131323788	37.100131323788	-3.37372362181422	-3.37372362181422
E308	37.1001668873012	37.1001668873012	-3.37375360716704	-3.37375360716704
E307	37.100176683298	37.100176683298	-3.37368942676848	-3.37368942676848
R102	37.1019725064778	37.1019725064778	-3.37226466900519	-3.37226466900519
